txnDate,txnType,txnAmount,txnNav,txnUnits
1/2/2007,Purchase,10000,10.5387,948.884
8/2/2007,Purchase,5000,10.5541,473.75
11/2/2007,Purchase,10000,10.5606,946.916
20/02/2007,Purchase,1000,10.5816,94.504
21/02/2007,Purchase,1000,10.5841,94.481
22/02/2007,Purchase,13000,10.5863,1228.002
22/03/2007,Purchase,5000,10.6568,469.184
1/4/2007,Purchase,5000,10.7002,467.281
5/4/2007,Purchase,10000,10.7254,932.366
31/01/2008,Purchase,8000,11.3669,703.798
15/02/2008,Purchase,10000,11.4017,877.062
25/02/2008,Purchase,10000,11.4262,875.182
3/3/2008,Purchase,5000,11.4443,436.899
3/3/2008,Purchase,2000,11.4443,174.759
3/3/2008,Purchase,1000,11.4443,87.38
4/3/2008,Purchase,21000,11.4467,1834.59
29/04/2008,Lateral Shift Out,5195.05,11.5961,448
2/5/2008,Purchase,10000,11.6039,861.779
28/05/2008,Purchase,11000,11.6715,942.467
9/6/2008,Lateral Shift Out,1170.27,11.7027,100
11/6/2008,Purchase,5000,11.7081,427.055
24/06/2008,Purchase,49000,11.7434,4172.556
25/06/2008,Purchase,25000,11.7463,2128.33
25/06/2008,Purchase,24000,11.7463,2043.197
2/7/2008,Purchase,30000,11.7673,2549.438
7/7/2008,Purchase,1000,11.7807,84.885
17/07/2008,Purchase,11000,11.8089,931.501
11/8/2008,Lateral Shift In,24856.75,11.8805,2092.231
15/09/2008,Lateral Shift Out,1000,11.9874,83.421
15/09/2008,Lateral Shift Out,4000,11.9874,333.684
6/10/2008,Lateral Shift Out,1000,12.0691,82.856
10/10/2008,Lateral Shift Out,1000,12.0849,82.748
24/10/2008,Lateral Shift Out,10000,12.1381,823.852
4/11/2008,Purchase,3000,12.179,246.326
21/05/2009,Lateral Shift In,126882.05,12.6575,10024.258
